型號,商品名稱,分類,電繪圖色碼數,電繪圖色碼,現有圖片色碼,價格
1121826,DOWN HUGGER 800 #0,SLEEPING BAG,1,RD,,14640
1121827,DOWN HUGGER 800 #1,SLEEPING BAG,1,OG,,12970
1121828,DOWN HUGGER 800 #2,SLEEPING BAG,2,"BL,YL",,10840
1121829,DOWN HUGGER 800 #3,SLEEPING BAG,3,"CN,GAR,KGN",,8730
1121839,DOWN HUGGER 800 THERMAL SHEET,SLEEPING BAG,1,YGN,,7030
1121840,DOWN HUGGER 800 WOMEN'S #0,SLEEPING BAG,1,GAR,,14060
1121841,DOWN HUGGER 800 WOMEN'S #1,SLEEPING BAG,1,RAS,,12590
1121842,DOWN HUGGER 800 WOMEN'S #2,SLEEPING BAG,1,MST,,10540
1121843,DOWN HUGGER 800 WOMEN'S #3,SLEEPING BAG,2,"OG,TQ",,8320
1121845,DOWN HUGGER 800 HALF LENGTH #1,SLEEPING BAG,1,OG,,10540
1121846,DOWN HUGGER 800 HALF LENGTH #3,SLEEPING BAG,1,GAR,,7180
1121847,DOWN HUGGER 800 HALF LENGTH #5,SLEEPING BAG,1,DTL,,6300
